PId,X1,X2,Y
1,a,c,no
2,a,c,yes
3,a,c,no
4,a,c,yes
5,a,c,no
6,a,c,no
7,a,c,yes
8,a,c,no
9,a,c,no
10,a,c,no
11,a,c,no
12,a,c,no
13,a,c,no
14,a,c,no
15,a,c,yes
16,a,d,yes
17,a,d,yes
18,a,d,yes
19,a,d,no
20,a,d,yes
21,a,d,no
22,a,d,yes
23,a,d,no
24,a,d,yes
25,a,d,yes
26,a,d,yes
27,a,d,yes
28,a,d,yes
29,a,d,no
30,a,d,no
31,b,c,no
32,b,c,yes
33,b,c,yes
34,b,c,yes
35,b,c,yes
36,b,c,yes
37,b,c,no
38,b,c,yes
39,b,c,yes
40,b,c,yes
41,b,c,no
42,b,c,yes
43,b,c,yes
44,b,c,yes
45,b,c,yes
46,b,d,yes
47,b,d,no
48,b,d,yes
49,b,d,no
50,b,d,yes
51,b,d,yes
52,b,d,yes
53,b,d,yes
54,b,d,no
55,b,d,yes
56,b,d,no
57,b,d,yes
58,b,d,no
59,b,d,yes
60,b,d,yes
