PId,X1,X2,Y
1,a,c,maybe
1,a,d,no
1,b,c,no
1,b,d,maybe
2,a,c,no
2,a,d,no
2,b,c,no
2,b,d,yes
3,a,c,no
3,a,d,no
3,b,c,no
3,b,d,maybe
4,a,c,no
4,a,d,maybe
4,b,c,no
4,b,d,maybe
5,a,c,no
5,a,d,no
5,b,c,maybe
5,b,d,yes
6,a,c,no
6,a,d,maybe
6,b,c,maybe
6,b,d,no
7,a,c,no
7,a,d,yes
7,b,c,yes
7,b,d,maybe
8,a,c,yes
8,a,d,maybe
8,b,c,yes
8,b,d,maybe
9,a,c,no
9,a,d,no
9,b,c,no
9,b,d,yes
10,a,c,no
10,a,d,yes
10,b,c,maybe
10,b,d,yes
11,a,c,no
11,a,d,yes
11,b,c,yes
11,b,d,yes
12,a,c,yes
12,a,d,yes
12,b,c,yes
12,b,d,yes
13,a,c,no
13,a,d,yes
13,b,c,yes
13,b,d,yes
14,a,c,no
14,a,d,maybe
14,b,c,yes
14,b,d,no
15,a,c,no
15,a,d,yes
15,b,c,maybe
15,b,d,yes
